permutation,score,elapsed_seconds,n_fits,fit_convergence_issues,warnings,labels_sha256
70,0.38734244791760608,95.673258385999361,370,0,0,97c09f2f5e1ef613865c7f1c792a59b1a8deb78572745aadfa6998ff9354a31e
71,0.399622215049725,94.990829415999542,370,0,0,ea4805c9a27f088b4ac41fad5b8aa46eb8a4c8bb617796ab085bfb4285585fe3
72,0.3659889447964968,93.757261003000167,370,0,0,123d4c66874b6717652dbdf36d11cbfd563051d7d7b5c55feb3f6ee52d8f3420
73,0.3624077062246755,92.094609694999235,370,0,0,afcec7e86858e3ed438f1708aa26dd71531af5e9ab24a7e6b4ac93f31bc56a54
74,0.405669108203979,93.85573278399896,370,0,0,19b4ece97c5fb737b23105b904534afdf3782bbd1ad39645663ed72f5c73fc35
75,0.43437152477078877,94.501003826999295,370,0,0,dc23b138fb5eaadd4e5797b42ddea6a343209ce57790d9298daee909833cea7e
76,0.33138031796670209,90.695081281999606,370,0,0,ed82b39d4b9c77aa7390a72a62349cebd5e3399ad85035c2bf6f185aa78f4ad7
77,0.36396864897922199,89.192956246999529,370,0,0,e2f5f0a6bca28648e677c1f8a1ea7f91f1efb0bfde436cd75b6045c051bdee1f
78,0.42797203925944338,91.962337048998961,370,0,0,556976e3597b98961dee1210cf23b2f48399c92f942c591ca05882eeba51695a
79,0.3992086808197518,97.946542329000295,370,0,0,f0e069e8f9a3bc78f69bfdb5ff2a6e0d5b649aa6e47c2bdd5c1212e3037b3ca3
80,0.38402634186274809,99.679462453999804,370,0,0,ccd88c7f605a3a8549218e8079992f889309625d10a104f72b763a8b27aeddf1
81,0.45409787674860841,95.450002298999607,370,0,0,1de32988c814c5520bfd44f17e292cdc0ec535d5b809a110cd0b6137f2fe6bb5
82,0.38499628428653321,97.278923640998983,370,0,0,c788e84c034d2601e45b8133b8efe88be39d325ab4644a227404702e5d4b0280
83,0.42783239264748418,95.248444594999455,370,0,0,1d1752af5b13376734a6ad86e2f8f8808df392e79d795542cce6f5795f6e62fa
84,0.38792490992665002,98.275564559000486,370,0,0,92affc0b650b689e80072ca5296feab6032f419881af64f09e105a28d3a6c319
85,0.36305042372646967,94.938570633001277,370,0,0,7b871a47e1dcd03a17132c58ca017ef3084a8352b68ef0d717668ea27d2eb2e2
86,0.40062318486492049,95.141939219000037,370,0,0,2e99052074b210f358c65d8e919c519eb9f3969dfc12b1efc1a13f4ff68c83e4
87,0.39738370978819387,92.111844938999639,370,0,0,3ea8a16fa0239ff8b3d1af892781c158bb52b1cf721c1d0be9a62d317c590622
88,0.42467818124703038,94.4712797029988,370,0,0,d04a0d38071ba909ca97cb3a36125d03d5f051180630a2a1a5dc1fbeeb667c1a
89,0.34319110775769379,96.317404084000358,370,0,0,d44d099af2a07cec89e32e0b37d37283ecbfd3a8c082670383632fe06009f877
90,0.40845247633319448,93.478668237999955,370,0,0,c51d16ea450c2bf80794a80abb291dd8e558c8c7e17ffa61ec4a32233445d6a8
91,0.42049951489998882,96.55644970700088,370,0,0,0f550c5b6ce8054712a08a801045406134bf2755393cda757a0ef26ed4d29907
92,0.40754865831726039,98.940555154000322,370,0,0,017730e6e5433289c13494956ba86949c4afafac256ba26684b9a95a57dbee53
93,0.39092989291670538,93.767423691999284,370,0,0,31968756ef419d71c1b640414161ae02513dc6ab80f4f6f5b35fc4f0379a1ff7
94,0.37831134744885042,92.322695172000763,370,0,0,6dc256f97e97d8e985929b494ec62883af95127078dc9cd18f595bf9f5be073b
95,0.43189527962818791,95.015702409000355,370,0,0,2a9d65753df0cbcfb2638253e5ce847ad7d35b90ffba6bf9e2e391e0a88631d5
96,0.40805306500728139,93.007113924000805,370,0,0,92e3fc0eb83c698c888527327e86c4b16425224ebf4f3d4501004f7ba3331ced
97,0.47291031528099881,94.734262922000198,370,0,0,40216d65613e8fe5c484eae496c4e2a37e5e3f67680f678231798ede0c3377c5
98,0.43211149361024909,95.948171945001377,370,0,0,ac02a21547bf1cbdedee295491ec22a21266f39d2fabd937b782db00da808181
99,0.47052970744014838,93.601444148000155,370,0,0,4fc60c6b9f794a1c4709f681705354b383a9d03f15d002add884283bf14a023b
100,0.3589700874931176,96.615758754000126,370,0,0,56745a7a3badac527f4283946c8f51cd29f0b1005713c65e9bddd1ede6b3a5a5
101,0.43732066590010599,96.783485934000041,370,0,0,5c698326e154722db3b245f718200c69a1e62edf13c2800feca2cbee48a73b4e
102,0.39883878296113939,95.346070102999875,370,0,0,220c8563a7b1a0229998d4f2d002056f2cb1bf0b1051b596c1ffa3bf5a0b52c2
103,0.4480678080657583,97.53322534399922,370,0,0,2ef68a1f9d4c82b7285b94103074d68a1b315f68ecf91dbc1ad9c1056100a455
104,0.3767947346554571,90.83516448200136,370,0,0,c35ed6eba8fd41e77842a41a5f46eeb583fe7c4eea6c57c28323e08d9f6d82a8
105,0.42621286050579299,93.856747890000406,370,0,0,b29b6719c147315d5b0e8d9f75b1a8ed86fdefb008642e1c8ea742f06f520b94
106,0.39613222682828619,91.510002163000536,370,0,0,aee135da8bf97ad08d1ebf0243cf2f033cf0738b9172b3602500d0ed2fc5e810
107,0.38924907545259568,86.925757666998834,370,0,0,7f6e40f70bb4b72dfcc803de8d851d9f7ed2bfbfdf2bc4e229c675d58cb7a97d
108,0.42083215959369757,89.775558164999893,370,0,0,50e2a663d806da130fb1beb387f35e411ed0ca881c1c1aecac5152d488e26602
109,0.42378648327426449,89.755691334001312,370,0,0,cc61a91eca76883d97b7663fc92734a303f3a6aa9fa27986a24bb53d605e9bf2
110,0.349326673193738,92.356907295001278,370,0,0,0a14c385d699a7fc5abb55410888408cfda8215b3b4e420c46999a0564e859a9
111,0.45596052188518232,91.190912763999222,370,0,0,2ced07a5eea72439ebdd1e71d00bc90b07fc2369a5771a7ad1ccb9e97332b1ed
112,0.39578095827025822,94.342477484000483,370,0,0,00fece2bc918c7ad67cbdc9859d59000271519534677aaf7c553404bbc053a57
113,0.42942292030882517,93.560468850999314,370,0,0,1cfd1e1c7e0709d59256281182e15cedcf3013ae27fe2284491155d748dff41e
114,0.40734792735709952,94.333561906998526,370,0,0,fefadb7cb234094250d8f24a43a2a489a68d3fcd40bf650eeb9a84b1fda96f9a
